reference|nom|prix_ttc|base_lppr|code_lppr|categorie|badges|image_url|description|points_forts|expert|specs|documents|recommande
LIVMATAIR|Collier cervical anatomique DonJoy C2 - T2|17.48|17.48|1227332|||||||||
LIVAEROSOL|Aerosol bactéricide menthe 750 ml PUCK|17.48|17.48|1227332|||||||||
LIVVERTIC|Fauteuil roulant électrique|17.68|17.68|1272195|||||||||
LIVLEVMAL|Stéthoscope Idéal+ - Pavillon simple - Noir|17.68|17.68|1272195|||||||||
COUSSINAEFAP|Accroche-canne Patterson|81.0|81.0|1285690||||||Le choix d'un coussin de positionnement est essentiel pour améliorer le confort, la sécurité et le soutien des personnes qui passent de longues périodes assises, notamment pour prévenir les douleurs, les escarres et assurer un bon alignement corporel. Les coussins de positionnement sont utilisés dans divers contextes, que ce soit pour les fauteuils roulants, les chaises de bureau ou même pour les lits médicaux. Voici un guide détaillé pour vous aider à choisir le coussin de positionnement le plus adapté aux besoins de l’utilisateur.1. Type de coussin de positionnementIl existe plusieurs types de coussins de positionnement, chacun ayant des caractéristiques spécifiques pour différents besoins et contextes :Coussins en mousse : Ce type est souvent le plus abordable et offre une bonne répartition du poids. Les coussins en mousse à mémoire de forme s’adaptent bien à la morphologie de la personne et peuvent aider à réduire la pression sur certaines zones du corps.Coussins en microbilles ou granulés : Ce type de coussin est constitué de petites billes de mousse ou de granulés qui s’ajustent au corps de l’utilisateur. Ils sont légers et permettent une certaine souplesse tout en offrant un soutien.Coussins combinés : Certains coussins sont conçus en combinant plusieurs matériaux pour maximiser le confort, le soutien et la réduction de la pression. Par exemple, un coussin peut comporter une couche de mousse viscoélastique (mémoire de forme) sur un support en gel ou en air.2. Objectif du coussinAvant de choisir un coussin de positionnement, il est important de définir son objectif :Prévention des escarres : Si l’objectif principal est la prévention des escarres (plaies de pression), il est essentiel de choisir un coussin qui répartit bien la pression. Les coussins à air, à cellules indépendantes, ou les coussins en gel sont particulièrement efficaces pour réduire les risques d’escarres.Amélioration du confort : Si l’objectif est d’améliorer le confort, en particulier pour les personnes qui restent assises pendant de longues périodes, un coussin en mousse à mémoire de forme ou un coussin en gel peut être idéal.Maintien de la posture et de l’alignement corporel : Certains coussins sont conçus pour améliorer la posture en assurant un meilleur alignement de la colonne vertébrale et des hanches. Ces coussins sont souvent utilisés dans les fauteuils roulants ou pour les personnes ayant des problèmes de dos.3. Confort et soutienDensité et épaisseur : Un coussin trop mou risque de ne pas offrir un soutien suffisant, tandis qu’un coussin trop ferme peut être inconfortable. Le choix de la densité dépend de l’usage spécifique et des préférences de l’utilisateur. Par exemple, un coussin ferme en mousse haute densité peut offrir un meilleur soutien pour les personnes plus lourdes ou celles qui nécessitent plus de stabilité.Matériau respirant : Pour éviter l’accumulation de chaleur et d’humidité, surtout pour les personnes immobiles ou en fauteuil roulant, il est préférable de choisir un coussin avec un revêtement respirant ou perforé.4. Taille et formeDimensions de l’assise : Assurez-vous que le coussin s’adapte bien à l’assise du fauteuil roulant, de la chaise ou du lit. Il doit couvrir l’ensemble de la zone d’assise et offrir un soutien complet.Forme ergonomique : Certains coussins de positionnement sont conçus avec une forme spécifique pour améliorer le confort ou soutenir certaines zones du corps, comme les hanches, le bas du dos ou le coccyx. Les coussins en forme de coin, de demi-lune ou avec un design spécial pour le soutien lombaire sont des options populaires.Conclusion :Le choix du coussin de positionnement dépend de plusieurs facteurs, notamment le type de soutien nécessaire, le confort souhaité, le risque d'escarres, ainsi que la facilité d'entretien et la portabilité. Que ce soit pour améliorer le confort, prévenir les escarres ou corriger la posture, il est essentiel de choisir un coussin adapté aux besoins spécifiques de l’utilisateur. N’oubliez pas de consulter un professionnel de santé pour un conseil personnalisé et garantir le bien-être et la sécurité de la personne qui l’utilisera.|||
LIVDEAMB|Stéthoscope Idéal+ - Pavillon simple - Noir|12.96|12.96|1290968|||||||||
COUSSINPOSDEC|Coussins Kalli Visco 42 x 42 x 8 cm|173.79|173.79|6255801||||"""""Spécialement conçus pour soulager les douleurs musculaires et prévenir l'apparition des escarres, les coussins de positionnement prennent de nombreuses formes différentes. Dans le cadre du maintien à domicile, d'un alitement prolongé ou des suites d'une opération, les coussins de positionnement existent sous plusieurs formes pour soulager la partie du corps en question. Demie-lune, triangulaire, bouée, vous trouverez ce qu'il convient pour décharger cervicales, talons, mains ou encore appuis prolongés sur n'importe quelle partie du corps."""""|"""""Coussin DÉCUBITUS SEMI LATÉRAL - Aides techniques de positionnement en décubitus semi latéral. Coussin polyvalent, il maintient confortablement le patient aussi bien au niveau des épaules, du dos, des hanches que des genoux lors d'un positionnement en décubitus latéral. De plus, il limite les phénomènes de friction et de cisaillement. Coussin de positionnement polyvalent permettant des applications diverses :   Place´ face poste´rieure du patient en semi-late´ral 30°, permet de de´charger la pression des re´gions suivantes : trochante´rienne, sacrum, talons, rachis internes et malle´oles internes.Place´ en semi-ventral, permet de libe´rer les pressions sur les parties basses des poumons et obtenir un bon de´gagement des voies supe´rieures respiratoires.Place´ sous les mollets, permet de re´aliser une de´- charge localise´e au niveau des talons.Place´ sous les cuisses permet de soulager les tensions tendino-musculaires au niveau lombaire et re´aliser un relachement de la sangle musculaire abdominale. """""|Le choix d'un coussin de positionnement est essentiel pour améliorer le confort, la sécurité et le soutien des personnes qui passent de longues périodes assises, notamment pour prévenir les douleurs, les escarres et assurer un bon alignement corporel. Les coussins de positionnement sont utilisés dans divers contextes, que ce soit pour les fauteuils roulants, les chaises de bureau ou même pour les lits médicaux. Voici un guide détaillé pour vous aider à choisir le coussin de positionnement le plus adapté aux besoins de l’utilisateur.1. Type de coussin de positionnementIl existe plusieurs types de coussins de positionnement, chacun ayant des caractéristiques spécifiques pour différents besoins et contextes :Coussins en mousse : Ce type est souvent le plus abordable et offre une bonne répartition du poids. Les coussins en mousse à mémoire de forme s’adaptent bien à la morphologie de la personne et peuvent aider à réduire la pression sur certaines zones du corps.Coussins en microbilles ou granulés : Ce type de coussin est constitué de petites billes de mousse ou de granulés qui s’ajustent au corps de l’utilisateur. Ils sont légers et permettent une certaine souplesse tout en offrant un soutien.Coussins combinés : Certains coussins sont conçus en combinant plusieurs matériaux pour maximiser le confort, le soutien et la réduction de la pression. Par exemple, un coussin peut comporter une couche de mousse viscoélastique (mémoire de forme) sur un support en gel ou en air.2. Objectif du coussinAvant de choisir un coussin de positionnement, il est important de définir son objectif :Prévention des escarres : Si l’objectif principal est la prévention des escarres (plaies de pression), il est essentiel de choisir un coussin qui répartit bien la pression. Les coussins à air, à cellules indépendantes, ou les coussins en gel sont particulièrement efficaces pour réduire les risques d’escarres.Amélioration du confort : Si l’objectif est d’améliorer le confort, en particulier pour les personnes qui restent assises pendant de longues périodes, un coussin en mousse à mémoire de forme ou un coussin en gel peut être idéal.Maintien de la posture et de l’alignement corporel : Certains coussins sont conçus pour améliorer la posture en assurant un meilleur alignement de la colonne vertébrale et des hanches. Ces coussins sont souvent utilisés dans les fauteuils roulants ou pour les personnes ayant des problèmes de dos.3. Confort et soutienDensité et épaisseur : Un coussin trop mou risque de ne pas offrir un soutien suffisant, tandis qu’un coussin trop ferme peut être inconfortable. Le choix de la densité dépend de l’usage spécifique et des préférences de l’utilisateur. Par exemple, un coussin ferme en mousse haute densité peut offrir un meilleur soutien pour les personnes plus lourdes ou celles qui nécessitent plus de stabilité.Matériau respirant : Pour éviter l’accumulation de chaleur et d’humidité, surtout pour les personnes immobiles ou en fauteuil roulant, il est préférable de choisir un coussin avec un revêtement respirant ou perforé.4. Taille et formeDimensions de l’assise : Assurez-vous que le coussin s’adapte bien à l’assise du fauteuil roulant, de la chaise ou du lit. Il doit couvrir l’ensemble de la zone d’assise et offrir un soutien complet.Forme ergonomique : Certains coussins de positionnement sont conçus avec une forme spécifique pour améliorer le confort ou soutenir certaines zones du corps, comme les hanches, le bas du dos ou le coccyx. Les coussins en forme de coin, de demi-lune ou avec un design spécial pour le soutien lombaire sont des options populaires.Conclusion :Le choix du coussin de positionnement dépend de plusieurs facteurs, notamment le type de soutien nécessaire, le confort souhaité, le risque d'escarres, ainsi que la facilité d'entretien et la portabilité. Que ce soit pour améliorer le confort, prévenir les escarres ou corriger la posture, il est essentiel de choisir un coussin adapté aux besoins spécifiques de l’utilisateur. N’oubliez pas de consulter un professionnel de santé pour un conseil personnalisé et garantir le bien-être et la sécurité de la personne qui l’utilisera.|||
APPSOUT|Masques à oxygène moyenne concentration|171.51|171.51|6259970|||||||||
HX_TECCHAISEMOEM|Chaise percée de douche Moem|237.25|102.62|6272828||||"""""La chaise qui facilite l'hygiène des personnes à mobilité réduiteMOEM est une chaise de douche et de toilette destinée à faciliter l'hygiène des personnes souffrant d'un handicap moteur. Elle est destinée à être utilisée sous la douche, dans le lavabo et sur les toilettes, ainsi que pour le transport des patients. MOEM peut être utilisé pour des patients pesant jusqu'à 150 kg. Seau et couvre seau inclus. """""||""""" Choisir une chaise de garde-robe (aussi appelée chaise de toilette ou chaise percée) adaptée à vos besoins est essentiel pour garantir confort, sécurité et praticité, surtout pour les personnes ayant des difficultés de mobilité. Ces chaises sont conçues pour faciliter l’accès aux toilettes tout en offrant une assistance pour les transferts. Voici un guide pour vous aider à choisir le modèle qui vous conviendra le mieux.    1. Type de chaise garde-robe    Chaise de garde-robe classique : Elle est dotée d’une assise percée avec un seau amovible en dessous pour recueillir les déchets. C’est un modèle simple et pratique pour un usage quotidien à la maison.  Chaise de garde-robe avec accoudoirs et dossier : Ces modèles offrent plus de soutien, particulièrement pour les personnes ayant des difficultés à s’asseoir ou à se lever. Ils sont dotés d'accoudoirs pour faciliter les mouvements et d’un dossier pour plus de stabilité.  Chaise de garde-robe à roulettes : Équipée de roulettes pour faciliter le déplacement de la chaise d'une pièce à l'autre. Certaines ont des roulettes avec des freins pour plus de sécurité.  Chaise de garde-robe pour douche : Conçue pour être utilisée dans la salle de bain, elle est fabriquée avec des matériaux résistants à l'eau et possède souvent des sièges perforés pour permettre l’évacuation de l’eau.    2. Confort et ergonomie    Assise : L’assise doit être confortable pour l’utilisateur, avec une hauteur adaptée. Certains modèles offrent une assise rembourrée, tandis que d’autres ont des sièges plus fermes en plastique ou en matériaux résistants aux éclaboussures.  Hauteur réglable : Choisissez une chaise de garde-robe avec une hauteur ajustable pour s'adapter à la taille de l'utilisateur et faciliter le transfert du fauteuil roulant ou du lit à la chaise.  Forme et taille de l'assise : L’assise doit être assez large pour assurer le confort et permettre un transfert facile. Vérifiez aussi qu'elle est assez profonde pour garantir la stabilité.    3. Stabilité et sécurité    Accoudoirs : Les accoudoirs sont un atout pour s'asseoir et se lever facilement. Assurez-vous qu'ils sont bien positionnés et suffisamment solides.  Antidérapants : Les pieds de la chaise doivent être équipés de pattes antidérapantes pour garantir la stabilité pendant l’utilisation.  Freins : Si la chaise est à roulettes, vérifiez qu'elle dispose de freins de sécurité pour éviter tout mouvement accidentel pendant l’utilisation.    4. Matériaux et résistance    Matériaux durables et résistants à l’eau : Les chaises de garde-robe sont souvent fabriquées en plastique, aluminium, ou acier inoxydable pour offrir une résistance à l'humidité, en particulier si elles sont utilisées dans la salle de bain ou la douche.  Assise et dossier en matériaux respirants : Un siège perforé ou en matériaux respirants est conseillé pour assurer une bonne ventilation et éviter les risques d’humidité et de mauvaises odeurs.    5. Praticité et entretien    Seau amovible : Vérifiez que le seau est facile à retirer, à vider et à nettoyer. Certains seaux sont équipés de couvercles pour plus d’hygiène et de discrétion.  Facilité de nettoyage : Le matériau de la chaise doit être facile à nettoyer, surtout si elle est utilisée régulièrement. Un revêtement lisse et des surfaces sans recoins permettent un entretien plus facile.  Poids de la chaise : Choisissez un modèle qui soit suffisamment léger pour être déplacé facilement tout en restant robuste et stable.    6. Dimensions et compatibilité    Dimensions de l’assise : Assurez-vous que la chaise offre une assise suffisamment large et confortable pour l’utilisateur. Les chaises de garde-robe sont généralement conçues pour des poids allant de 100 à 150 kg, mais certains modèles peuvent supporter plus.  Compatibilité avec les toilettes : Si la chaise est destinée à être utilisée au-dessus des toilettes, vérifiez qu’elle est bien ajustée à la hauteur des toilettes pour un transfert facile.    7. Options supplémentaires    Repose-pieds : Certaines chaises de garde-robe sont équipées de repose-pieds ajustables ou fixes pour plus de confort, en particulier pour les personnes ayant des problèmes de circulation.  Support de papier toilette ou accessoires : Certaines chaises offrent des porte-papiers ou des supports pour les produits de toilette, ce qui peut être pratique.  Facilité de stockage : Les chaises pliables ou démontables sont idéales si vous manquez d’espace ou si vous avez besoin de la ranger après chaque utilisation.   Conclusion :   Le choix d’une chaise de garde-robe dépend de plusieurs facteurs, notamment la mobilité de l’utilisateur, les besoins spécifiques de confort et de sécurité, ainsi que la facilité d’entretien. En choisissant une chaise adaptée à la taille et aux besoins de l’utilisateur, vous garantissez une meilleure autonomie et un confort optimal au quotidien. N'hésitez pas à consulter un professionnel pour des recommandations personnalisées.  """""|||
HX_HER320023|Fauteuil garde robe new club|52.86|102.62|6273816||||"""""Chaise garde robe Une chaise hygiénique avec bouchon Sobre et fonctionnelle, la chaise percée NEW CLUB est équipé d’une assise surépaisse totalement amovible et d’un bouchon confort. L’ouverture des bras facilite l’usage pour s’asseoir ou la sortie du patient. La chaise New Club associe ergonomie et confort. Un fauteuil percée très confortable et au design ergonomique :l'assise de la chaise ainsi que le dossier sont rembourrés et un bouchon tout aussi confortable recouvre le seau au centre de la chaise.Concernant le seau, ce dernier se retire par le dessus tout en étant jointif sous l'assise afin d'éviter tout risque d'éclaboussure.Caractéristiques et avantages de la chaise percée New ClubDossier confort.Seau totalement jointif sous l’assise qui se retire uniquement sur le dessus.Assise amovible avec bouchon confort.Matériaux robustes : acier traité époxy, assise dossier et accoudoirs bi matières, seau  polypropylène. Coloris : Océan.Garantie 2 ans Poids max. utilisateur : 110 kg.Hauteur totale : 86 cm.Dim. dossier Larg. 46 cm x haut. 23 cm.Largeur totale : 55 cm et profondeur totale : 45 cm.Largeur entre accoudoirs 46 cmHauteur de l’assise au sol 51 cm.Poids : 6,5 kg.Capacité du seau : 10 L"""""||""""" Choisir une chaise de garde-robe (aussi appelée chaise de toilette ou chaise percée) adaptée à vos besoins est essentiel pour garantir confort, sécurité et praticité, surtout pour les personnes ayant des difficultés de mobilité. Ces chaises sont conçues pour faciliter l’accès aux toilettes tout en offrant une assistance pour les transferts. Voici un guide pour vous aider à choisir le modèle qui vous conviendra le mieux.    1. Type de chaise garde-robe    Chaise de garde-robe classique : Elle est dotée d’une assise percée avec un seau amovible en dessous pour recueillir les déchets. C’est un modèle simple et pratique pour un usage quotidien à la maison.  Chaise de garde-robe avec accoudoirs et dossier : Ces modèles offrent plus de soutien, particulièrement pour les personnes ayant des difficultés à s’asseoir ou à se lever. Ils sont dotés d'accoudoirs pour faciliter les mouvements et d’un dossier pour plus de stabilité.  Chaise de garde-robe à roulettes : Équipée de roulettes pour faciliter le déplacement de la chaise d'une pièce à l'autre. Certaines ont des roulettes avec des freins pour plus de sécurité.  Chaise de garde-robe pour douche : Conçue pour être utilisée dans la salle de bain, elle est fabriquée avec des matériaux résistants à l'eau et possède souvent des sièges perforés pour permettre l’évacuation de l’eau.    2. Confort et ergonomie    Assise : L’assise doit être confortable pour l’utilisateur, avec une hauteur adaptée. Certains modèles offrent une assise rembourrée, tandis que d’autres ont des sièges plus fermes en plastique ou en matériaux résistants aux éclaboussures.  Hauteur réglable : Choisissez une chaise de garde-robe avec une hauteur ajustable pour s'adapter à la taille de l'utilisateur et faciliter le transfert du fauteuil roulant ou du lit à la chaise.  Forme et taille de l'assise : L’assise doit être assez large pour assurer le confort et permettre un transfert facile. Vérifiez aussi qu'elle est assez profonde pour garantir la stabilité.    3. Stabilité et sécurité    Accoudoirs : Les accoudoirs sont un atout pour s'asseoir et se lever facilement. Assurez-vous qu'ils sont bien positionnés et suffisamment solides.  Antidérapants : Les pieds de la chaise doivent être équipés de pattes antidérapantes pour garantir la stabilité pendant l’utilisation.  Freins : Si la chaise est à roulettes, vérifiez qu'elle dispose de freins de sécurité pour éviter tout mouvement accidentel pendant l’utilisation.    4. Matériaux et résistance    Matériaux durables et résistants à l’eau : Les chaises de garde-robe sont souvent fabriquées en plastique, aluminium, ou acier inoxydable pour offrir une résistance à l'humidité, en particulier si elles sont utilisées dans la salle de bain ou la douche.  Assise et dossier en matériaux respirants : Un siège perforé ou en matériaux respirants est conseillé pour assurer une bonne ventilation et éviter les risques d’humidité et de mauvaises odeurs.    5. Praticité et entretien    Seau amovible : Vérifiez que le seau est facile à retirer, à vider et à nettoyer. Certains seaux sont équipés de couvercles pour plus d’hygiène et de discrétion.  Facilité de nettoyage : Le matériau de la chaise doit être facile à nettoyer, surtout si elle est utilisée régulièrement. Un revêtement lisse et des surfaces sans recoins permettent un entretien plus facile.  Poids de la chaise : Choisissez un modèle qui soit suffisamment léger pour être déplacé facilement tout en restant robuste et stable.    6. Dimensions et compatibilité    Dimensions de l’assise : Assurez-vous que la chaise offre une assise suffisamment large et confortable pour l’utilisateur. Les chaises de garde-robe sont généralement conçues pour des poids allant de 100 à 150 kg, mais certains modèles peuvent supporter plus.  Compatibilité avec les toilettes : Si la chaise est destinée à être utilisée au-dessus des toilettes, vérifiez qu’elle est bien ajustée à la hauteur des toilettes pour un transfert facile.    7. Options supplémentaires    Repose-pieds : Certaines chaises de garde-robe sont équipées de repose-pieds ajustables ou fixes pour plus de confort, en particulier pour les personnes ayant des problèmes de circulation.  Support de papier toilette ou accessoires : Certaines chaises offrent des porte-papiers ou des supports pour les produits de toilette, ce qui peut être pratique.  Facilité de stockage : Les chaises pliables ou démontables sont idéales si vous manquez d’espace ou si vous avez besoin de la ranger après chaque utilisation.   Conclusion :   Le choix d’une chaise de garde-robe dépend de plusieurs facteurs, notamment la mobilité de l’utilisateur, les besoins spécifiques de confort et de sécurité, ainsi que la facilité d’entretien. En choisissant une chaise adaptée à la taille et aux besoins de l’utilisateur, vous garantissez une meilleure autonomie et un confort optimal au quotidien. N'hésitez pas à consulter un professionnel pour des recommandations personnalisées.  """""|||
