reference,nom_csv,nom_site
LIVMATAIR,Forfait livraison compresseur et matelas air,Collier cervical anatomique DonJoy C2 - T2...
LIVAEROSOL,Forfait livraison aerosol,Aerosol bactéricide menthe 750 ml PUCK
LIVVERTIC,Forfait livraison verticalisateur,Fauteuil roulant électrique...
LIVLEVMAL,Forfait livraison lève personne,Stéthoscope Idéal+ - Pavillon simple - Noir
COUSSINAEFAP,coussin anti escarre classe 2 pour fap,Accroche-canne Patterson
LIVDEAMB,Forfait livraison déambulateur,Stéthoscope Idéal+ - Pavillon simple - Noir
COUSSINPOSDEC,Coussin de positionnement décubitus,Coussins Kalli Visco 42 x 42 x 8 cm
APPSOUT,appareil de soutien partiel de la tête pour fap,Masques à oxygène moyenne concentration...
HX_DUPSA1201105,Cadre de marche Brighton - Fixe - Drive Devilbiss Healthcare,Cadre de marche Brighton - Fixe - Drive...
HX_DUPSA1201005,Cadre de marche Bruxelles - Fixe - Drive Devilbiss Healthcare,Cadre de marche Bruxelles - Fixe - Drive...
HX_DUPSA1306500,Rollator Londres Light 2 Roues - Pliable - Drive Devilbiss Healtcare,Rollator Londres Light 2 Roues - Pliable -...
HX_DUPSA1314001,Rollator UltraLight 4 roues - Pliable - Drive Devilbiss Healtcare,Rollator UltraLight 4 roues - Pliable -...
HX_DUPSA1302005,Rollator Londres 2 Roues - Pliable - Drive Devilbiss Healtcare,Rollator Londres 2 Roues - Pliable - Drive...
HX_DUP722100000,Rollator Cristallo 4 roues - Pliable - Drive Devilbiss Healthcare,Rollator Cristallo 4 roues - Pliable -...
HX_HER243876,Rollator Modelito Classic Xtra 4 roues - Pliable - Herdegen,Rollator Modelito Classic Xtra 4 roues -...
HX_FDIEDL,Canne anglaise Ergo Dynamic - Taille L - A l'unité,Canne anglaise Ergo Dynamic - Taille L - A...
HX_FDIEDS,Canne anglaise Ergo Dynamic - Taille S - A l'unité,Canne anglaise Ergo Dynamic - Taille S - A...
HX_FDIETN,Canne anglaise Ergotech avec appui noir /canne noire,Canne anglaise Ergotech avec appui noir...
HX_FDIEDM,Canne anglaise Ergo Dynamic - Taille M - A l'unité,Canne anglaise Ergo Dynamic - Taille M - A...
HX_WINVPOZ17SG,Coussin standard abduction des hanches POZ IN FORM 17 - 38 x 30 x 16 cm,Coussin standard abduction des hanches POZ...
HX_WINVPOZ09SG,Coussin décubitus semi latéral POZ IN FORM 09 180 x 55 x 15 cm,Coussin décubitus semi latéral POZ IN FORM...
HX_WINVPOZ12SG,Coussin Triangulaire POZ IN FORM 12 - 60 x 30 x 30 cm,Coussin Triangulaire POZ IN FORM 12 - 60 x...
HX_WINVPOZ02SG,Coussin Universel POZ IN FORM  02 - 55 X 40 X 12 cm,Coussin Universel POZ IN FORM  02 - 55 X...
HX_WINVPOZ06SG,Coussin cylindrique Poz in Form 06 - 60 x 20 cm,Coussin cylindrique Poz in Form 06 - 60 x...
HX_WINVPOZ08SG,Coussin de décharge appui main Poz in Form 08 40 x 20 cm,Coussin de décharge appui main Poz in Form...
HX_WINVPOZ03SG,Coussin Universel POZ IN FORM 03 - 45 X 20 X 8 cm,Coussin Universel POZ IN FORM 03 - 45 X 20...
HX_SUBSBM1AC004,Pack de 4 électrodes 50 x 90 mm,Neurostimulateur connecté actiTENS Pack de...
HX_INVBW1533739A3,"Fauteuil  Action 3NG fixe Stock T. 45,5cm",Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBW1533737A3,"Fauteuil Action 3NG fixe Stock T. 40,5 cm",Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBW1533738A3,Fauteuil Action 3NG fixe Stock T. 43 cm,Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBR1538209,"Fauteuil Action 2NG fixe Stock T. 40,5 cm",Fauteuil Action 2NG - 405x400
HX_INVBR1538211,"Fauteuil Action 2NG fixe Stock T. 45,5 cm",Fauteuil Action 2NG fixe Stock T. 43 cm
HX_INVBW1533736A3,Fauteuil Action 3NG fixe Stock T. 38cm,Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBW1533740A3,Fauteuil Action 3NG fixe Stock T. 48cm,Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBR1538212,Fauteuil Action 2NG fixe Stock T. 48 cm,Fauteuil Action 2NG fixe Stock T. 43 cm
HX_INVBW1533741A3,"Fauteuil Action 3NG fixe Stock T. 50,5 cm",Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBW1533753A3,"Fauteuil Action 3NG inclinable Stock T. 50,5 cm",Fauteuil Action 3NG  inclinable  Stock T....
HX_INVBW1533751A3,"Fauteuil Action 3NG inclinable Stock T. 45,5 cm",Fauteuil Action 3NG  inclinable  Stock T....
HX_INVBW1533752A3,Fauteuil Action 3NG inclinable Stock T. 48 cm,Fauteuil Action 3NG  inclinable  Stock T....
HX_INVBW1533749A3,"Fauteuil  Action 3NG inclinable Stock T. 40,5 cm",Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBW1533748A3,Fauteuil Action 3NG inclinable Stock T. 38 cm,Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBR1655007,"Fauteuil Action 2NG inclinable Stock T. 50,5 cm","Fauteuil Action 2NG fixe Stock T. 50,5 cm"
HX_INVBR1538218,Fauteuil Action 2NG inclinable Stock T. 43 cm,Fauteuil Action 2NG fixe Stock T. 43 cm
HX_INVBR1538217,"Fauteuil Action 2NG inclinable et pliable Stock T. 40,5 cm",Fauteuil Action 2NG inclinable et pliable...
HX_INVBR1538219,"Fauteuil Action 2NG inclinable Stock T. 45,5 cm",Fauteuil Action 2NG - 405x400
HX_INVBW1533750A3,Fauteuil Action 3NG  inclinable  Stock T. 43 cm,Fauteuil Action 3NG  inclinable  Stock T....
HX_INV1517737,Fauteuil roulant manuel de transfert Alu Lite assise 41 cm,Fauteuil roulant manuel de transfert Alu...
HX_INVBR1673114,"Fauteuil roulant Action² NG Transit Lite Invacare - Largeur 40,5 cm",Fauteuil roulant Action² NG Transit Lite...
HX_INVBR1673116,"Fauteuil roulant Action² NG Transit Lite Invacare - Largeur 45,5 cm",Fauteuil roulant Action² NG Transit Lite...
HX_INV1525887,Chaise percée de douche modulaire Pico commode Aquatec®,Chaise percée de douche modulaire Pico...
HX_INVBR1673117,Fauteuil roulant Action² NG Transit Lite Invacare - Largeur 48 cm,Fauteuil roulant Action² NG Transit Lite...
HX_ERGNC920E10,Commande tierce personne,Lampe LED + fixation
HX_ERGNC7E10,Commande tierce personne,Commande de paramétrage
HX_WHEELEO,Rollator à une main Wheeleo - Pack de 3,Wheeleo® - Déambulateur à une main
HX_WHEELEOPACK,Rollator à une main Wheeleopack - Pack lancement 2+1 - Wheeleo,Wheeleo® - Déambulateur à une main
HX_WHEELEOPACKBAG,Déambulateur à 1 main - Pack de lancement 2+1 + 8  WheeBag,Fauteuil roulant manuel pliable pour la...
HX_WHEELEO2DBAG,Déambulateur canne à 4 pied (quadipode) x2 + 8 WHEEBAG,Wheeleo® - Déambulateur à une main
HX_PLA80112739,Rollator Care Plus 6 roues - Pliable -  Playcare,Rollator Care Plus 6 roues - Pliable -...
HX_PLA80115728,Rollator/chariot de courses R05 4 roues - Pliable - Playcare,Rollator/chariot de courses R05 4 roues -...
HX_PLA80112287,Rollator/chariot de courses Care Lux 4 roues - Pliable - Playcare,Rollator/chariot de courses Care Lux 4...
HX_IBS3401043259573,Crème cicatrisante Ialuset - Flacon pressurisé de 100 g,Crème cicatrisante Ialuset - Flacon...
HX_COL334080,Pansement Biatain Silicone Multisite  14 x 19.5 cm,Poche à urine de nuit Conveen
HX_HAR609666,"Pansement irrigo-absorbant HydroClean Advance rond 5,5 cm diam.",Set de sondage urinaire MediSet®
HX_HAR609664,Pansement irrigo-absorbant HydroClean Advance ovale 4 x 8 cm,Set de sondage urinaire MediSet®
HX_SMI66000773,"Pansement hydrocellulaire non adhésif pour talon, coude et moignon Allevyn Heel",Pansement hydrocellulaire non adhésif pour...
HX_HAR609662,Pansement irrigo-absorbant HydroClean Advance rond 4 cm diam.,Pansement Méchage - MediSet®
HX_HAR413653,Pansement absorbant Zetuvit Stérile 15 x 20 cm,Pansement RespoSorb® Silicone Border 15 x...
HX_SYL6017146,"Sparadrap microporeux Sylapore 9,14 x 2,5 cm avec dévidoir","Sparadrap microporeux Sylapore 9,14 x 2,5..."
HX_3M7078287,"Sparadrap 3M™ Micropore™ avec dévidoir 25 mm x 9,14 m",Sparadrap 3M™ Micropore™ avec dévidoir 25...
HX_HAR478287,Pansements post-op / Grandes plaies avec coupe-fils MediSet,Pansements post-op / Grandes plaies avec...
HX_HAR479309,Pansement plaies suturées avec agrafes MediSet®,Pansement plaies suturées avec agrafes...
HX_HAR478285,Pansements post-op / Petites plaies avec coupe-fils MediSet,Pansements post-op / Plaies moyennes avec...
HX_COL37152,Pansement Biatain Alginate 15 x 15 cm,Etui pénien Conveen Optima Specific 35Mm
HX_COL335090,"Pansement Biatain Fiber 3,5 x 46 cm",Poche à urine 250 ml Conveen Active
HX_COL335050,Pansement Biatain Fiber 12.5 x 12.5 cm,Poche à urine 250 ml Conveen Active
HX_CLE7041,"35 Yannick fermé, cuir, mixte noir T35","Chaussures fermées - Yannick - cuir, mixte..."
HX_CLE7041NOI45,"Chaussures fermées - Yannick - cuir, mixte noir T45","Chaussures fermées - Yannick - cuir, mixte..."
HX_HAR478286,Pansements post-op / Plaies moyennes avec coupe-fils MediSet,Pansements post-op / Plaies moyennes avec...
HX_SYL2067882,Pansement absorbant Sylavit 10 x 10 cm stérile,Pansement absorbant Sylavit 10 x 20 cm...
HX_SYL2067899,Pansement absorbant Sylavit 10 x 20 cm stérile,Pansement absorbant Sylavit 10 x 20 cm...
